State,ZIP Code,City,County,Type
Oklahoma,ZIP Code 73001,Albert,Caddo,P.O. Box
Oklahoma,ZIP Code 73002,Alex,Grady,Standard
Oklahoma,ZIP Code 73003,Edmond,Oklahoma,Standard
Oklahoma,ZIP Code 73004,Amber,Grady,Standard
Oklahoma,ZIP Code 73005,Anadarko,Caddo,Standard
Oklahoma,ZIP Code 73006,Apache,Caddo,Standard
Oklahoma,ZIP Code 73007,Arcadia,Oklahoma,Standard
Oklahoma,ZIP Code 73008,Bethany,Oklahoma,Standard
Oklahoma,ZIP Code 73009,Binger,Caddo,Standard
Oklahoma,ZIP Code 73010,Blanchard,Mcclain,Standard
Oklahoma,ZIP Code 73011,Bradley,Grady,Standard
Oklahoma,ZIP Code 73012,Edmond,Oklahoma,Standard
Oklahoma,ZIP Code 73013,Edmond,Oklahoma,Standard
Oklahoma,ZIP Code 73014,Calumet,Canadian,Standard
Oklahoma,ZIP Code 73015,Carnegie,Caddo,Standard
Oklahoma,ZIP Code 73016,Cashion,Kingfisher,Standard
Oklahoma,ZIP Code 73017,Cement,Caddo,Standard
Oklahoma,ZIP Code 73018,Chickasha,Grady,Standard
Oklahoma,ZIP Code 73019,Norman,Cleveland,Unique
Oklahoma,ZIP Code 73020,Choctaw,Oklahoma,Standard
Oklahoma,ZIP Code 73021,Colony,Washita,Standard
Oklahoma,ZIP Code 73022,Concho,Canadian,P.O. Box
Oklahoma,ZIP Code 73023,Chickasha,Grady,P.O. Box
Oklahoma,ZIP Code 73024,Corn,Washita,Standard
Oklahoma,ZIP Code 73025,Edmond,Oklahoma,Standard
Oklahoma,ZIP Code 73026,Norman,Cleveland,Standard
Oklahoma,ZIP Code 73027,Coyle,Logan,Standard
Oklahoma,ZIP Code 73028,Crescent,Logan,Standard
Oklahoma,ZIP Code 73029,Cyril,Caddo,Standard
Oklahoma,ZIP Code 73030,Davis,Murray,Standard
Oklahoma,ZIP Code 73031,Dibble,Mcclain,P.O. Box
Oklahoma,ZIP Code 73032,Dougherty,Murray,P.O. Box
Oklahoma,ZIP Code 73033,Eakly,Caddo,P.O. Box
Oklahoma,ZIP Code 73034,Edmond,Oklahoma,Standard
Oklahoma,ZIP Code 73036,El Reno,Canadian,Standard
Oklahoma,ZIP Code 73038,Fort Cobb,Caddo,Standard
Oklahoma,ZIP Code 73039,Davis,Murray,P.O. Box
Oklahoma,ZIP Code 73040,Geary,Blaine,Standard
Oklahoma,ZIP Code 73041,Gotebo,Kiowa,Standard
Oklahoma,ZIP Code 73042,Gracemont,Caddo,Standard
Oklahoma,ZIP Code 73043,Greenfield,Blaine,Standard
Oklahoma,ZIP Code 73044,Guthrie,Logan,Standard
Oklahoma,ZIP Code 73045,Harrah,Oklahoma,Standard
Oklahoma,ZIP Code 73047,Hinton,Caddo,Standard
Oklahoma,ZIP Code 73048,Hydro,Caddo,Standard
Oklahoma,ZIP Code 73049,Jones,Oklahoma,Standard
Oklahoma,ZIP Code 73050,Langston,Logan,P.O. Box
Oklahoma,ZIP Code 73051,Lexington,Cleveland,Standard
Oklahoma,ZIP Code 73052,Lindsay,Garvin,Standard
Oklahoma,ZIP Code 73053,Lookeba,Caddo,Standard
Oklahoma,ZIP Code 73054,Luther,Oklahoma,Standard
Oklahoma,ZIP Code 73055,Marlow,Stephens,Standard
Oklahoma,ZIP Code 73056,Marshall,Logan,Standard
Oklahoma,ZIP Code 73057,Maysville,Garvin,Standard
Oklahoma,ZIP Code 73058,Meridian,Logan,Standard
Oklahoma,ZIP Code 73059,Minco,Grady,Standard
Oklahoma,ZIP Code 73061,Morrison,Noble,Standard
Oklahoma,ZIP Code 73062,Mountain View,Kiowa,Standard
Oklahoma,ZIP Code 73063,Mulhall,Logan,Standard
Oklahoma,ZIP Code 73064,Mustang,Canadian,Standard
Oklahoma,ZIP Code 73065,Newcastle,Mcclain,Standard
Oklahoma,ZIP Code 73066,Nicoma Park,Oklahoma,P.O. Box
Oklahoma,ZIP Code 73067,Ninnekah,Grady,Standard
Oklahoma,ZIP Code 73068,Noble,Cleveland,Standard
Oklahoma,ZIP Code 73069,Norman,Cleveland,Standard
Oklahoma,ZIP Code 73070,Norman,Cleveland,P.O. Box
Oklahoma,ZIP Code 73071,Norman,Cleveland,Standard
Oklahoma,ZIP Code 73072,Norman,Cleveland,Standard
Oklahoma,ZIP Code 73073,Orlando,Logan,Standard
Oklahoma,ZIP Code 73074,Paoli,Garvin,Standard
Oklahoma,ZIP Code 73075,Pauls Valley,Garvin,Standard
Oklahoma,ZIP Code 73077,Perry,Noble,Standard
Oklahoma,ZIP Code 73078,Piedmont,Canadian,Standard
Oklahoma,ZIP Code 73079,Pocasset,Grady,Standard
Oklahoma,ZIP Code 73080,Purcell,Mcclain,Standard
Oklahoma,ZIP Code 73082,Rush Springs,Grady,Standard
Oklahoma,ZIP Code 73083,Edmond,Oklahoma,P.O. Box
Oklahoma,ZIP Code 73084,Spencer,Oklahoma,Standard
Oklahoma,ZIP Code 73085,Yukon,Canadian,P.O. Box
Oklahoma,ZIP Code 73086,Sulphur,Murray,Standard
Oklahoma,ZIP Code 73089,Tuttle,Grady,Standard
Oklahoma,ZIP Code 73090,Union City,Canadian,Standard
Oklahoma,ZIP Code 73092,Verden,Grady,Standard
Oklahoma,ZIP Code 73093,Washington,Mcclain,Standard
Oklahoma,ZIP Code 73095,Wayne,Mcclain,Standard
Oklahoma,ZIP Code 73096,Weatherford,Custer,Standard
Oklahoma,ZIP Code 73097,Wheatland,Oklahoma,P.O. Box
Oklahoma,ZIP Code 73098,Wynnewood,Garvin,Standard
Oklahoma,ZIP Code 73099,Yukon,Canadian,Standard
Oklahoma,ZIP Code 73101,Oklahoma City,Oklahoma,P.O. Box
Oklahoma,ZIP Code 73102,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73103,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73104,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73105,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73106,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73107,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73108,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73109,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73110,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73111,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73112,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73113,Oklahoma City,Oklahoma,P.O. Box
Oklahoma,ZIP Code 73114,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73115,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73116,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73117,Oklahoma City,Oklahoma,Standard
Oklahoma,ZIP Code 73118,Oklahoma City,Oklahoma,Standard
